"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"157","11367406","泛亞工程建設股份有限公司","臺北市大安區忠孝東路4段219號7F、忠孝東路4段221號7F","吳俊德","1144417230","1100504"
"158","11456006","南山人壽保險股份有限公司","臺北市信義區莊敬路168號","陳棠","138219000000","1100527"
"159","11474406","旺旺通運股份有限公司","桃園市大溪區介壽路211巷54弄10號","簡志豪","20000000","1100511"
"160","11504507","建基股份有限公司","新北市瑞芳區逢甲路27號","李儒謙","132000000","1100525"
"161","11575002","益華股份有限公司","臺北市松山區復興北路57號14樓","","4157903660","1100512"
"162","11594330","培林五金有限公司","臺北市中山區長安東路1段25號","劉巧","5000000","1100521"
"163","11594351","培英科技有限公司","臺北市中山區八德路2段174巷10弄5號1樓","林麗卿","2800000","1100503"
"164","11606504","培林貿易股份有限公司","臺北市中山區長安東路1段25號","劉巧","200000000","1100528"
"165","11653105","惠民製藥股份有限公司","臺北市中山區吉林路98巷3號1樓","葉達雄","151675000","1100513"
"166","11700402","盛隆五金股份有限公司","新北市蘆洲區忠孝路41號","翁尚勳","15000000","1100503"
"167","11825450","福華電子股份有限公司","臺北市中山區中山北路3段22號","陳慈德","1572572420","1100506"
"168","11826470","台灣雅芳股份有限公司","臺北市松山區敦化北路88號14樓","姜瑞昌","25000000","1100512"
"169","11857207","嘉益螺絲股份有限公司","臺北市內湖區陽光街355號","林哲弘","5000000","1100511"
"170","11893415","台灣日鍛工業股份有限公司","桃園市八德區長興路729號","桧村雅人(Himura Masato)","91083950","1100514"
"171","11907038","臺灣精密工具股份有限公司","新竹縣新豐鄉康樂路一段169號","陳志昌","99000000","1100524"
"172","11917900","台灣國際商業機器股份有限公司","臺北市信義區松仁路7號3、4樓","高璐華","363833856","1100505"
"173","11948805","廣勝家具股份有限公司","新北市樹林區武林街9號之1","張維宗","10000000","1100528"
"174","12004945","豐聯工程股份有限公司","臺北市中山區林森北路119巷55之1號2樓","黃玉麟","60000000","1100520"
"175","12103353","元良實業股份有限公司","高雄市燕巢區中興路922號","呂文局","39600000","1100525"
"176","12104536","家欣企業股份有限公司","臺北市中山區中山北路3段58號3樓","黃嘉怡","5000000","1100525"
"177","12113465","永恭企業有限公司","新北市中和區建三路9號2樓","陳錫欽","28000000","1100505"
"178","12115941","宏加投資股份有限公司","臺北市大安區敦化南路1段200號5樓之9","蔡肇基","11000000","1100512"
"179","12124266","富錮有限公司","臺北市大安區復興南路1段352號7樓","蔡鎮宇","27580000","1100517"
"180","12133531","勝行國際股份有限公司","臺北市中山區松江路152號12樓","林回復","100000000","1100507"
"181","12144164","台灣租車股份有限公司","臺北市內湖區新湖三路237號3樓","徐范煦敏","50000000","1100505"
"182","12178826","日豐隆實業股份有限公司","臺北市大安區敦化南路1段313號1樓","馬秀山","26000000","1100526"
"183","12186136","華新橡膠工業股份有限公司","彰化縣田中鎮沙崙里中州路二段751號","鄭永柱","36000000","1100524"
"184","12200073","鷹華貿易有限公司","臺中市西區五權西四街126號14樓之3","許世霖","5000000","1100506"
"185","12205561","日商丸嘉機械股份有限公司","臺北市中山區民權東路3段2-1號15樓","神田晃三","12100000","1100514"
"186","12231717","世同金屬股份有限公司","臺中市西屯區工業區五路7號1至3樓、9號1至2樓、11號1至2樓","蘇開建","405033860","1100524"
"187","12233406","三褔食品有限公司","雲林縣虎尾鎮廉使里17鄰廉使226號","李昌隆","10000000","1100512"
"188","12250426","遠康企業有限公司","臺北市松山區復興南路1段1號9樓之3","","8000000","1100513"
"189","12252682","敏翔國際股份有限公司","臺北市信義區永吉路32號5樓之5","萬榮魁","21000000","1100525"
"190","12253107","鑫偉汽車有限公司","臺北市中山區龍江街84號1樓","嚴盛輝","1600000","1100521"
"191","12268241","台北東麗國際股份有限公司","臺北市松山區長春路451號6樓","堀勉","20000000","1100526"
"192","12290047","侵略未來藝術沙龍有限公司","宜蘭縣蘇澳鎮新城里新城一路30號","楊沛緹","9500000","1100526"
"193","12290118","太美玻璃工業股份有限公司","新北市三重區重新路3段111號8樓","林永昌","28200000","1100531"
"194","12305479","興富發建設股份有限公司","臺北市中山區樂群二路267號10樓","曹淵博","12909636170","1100514"
"195","12326805","先進忠義企業股份有限公司","臺北市中山區中山北路1段102號1樓","黃吳秀霞","3000000","1100511"
"196","12330293","駿林實業股份有限公司","臺北市松山區南京東路5段356號10樓","黃美容","28000000","1100531"
"197","12357406","香港商國泰航空有限公司","臺北市松山區民生東路3段129號環球商業大樓12樓","趙文淦","1000000","1100527"
"198","12362365","台通光電股份有限公司","新北市新莊區五權三路12巷3號","李慶煌","1476424170","1100503"
"199","12368023","群彬企業有限公司","臺中市潭子區榮興街21巷21號","徐大智","5000000","1100519"
"200","12372390","超毅實業有限公司","臺北市中山區新生北路3段11巷51號1樓","温炫煥","10000000","1100505"
"201","12375919","三崧貿易有限公司","新北市中和區橋安街41號4樓","呂麗瑛","10000000","1100519"
"202","12376488","吳氏皮飾有限公司","臺北市內湖區內湖路1段91巷23弄2號3樓","吳世昌","50000000","1100517"
"203","12380151","創奇企業有限公司","新北市八里區仁愛路195號(1樓)","陳朝麟","25000000","1100507"
"204","12383663","漢洋工業股份有限公司","臺北市中山區民權東路2段46號5樓之1","陳鶴雄","90000000","1100526"
"205","12386388","臺龍電子股份有限公司","新北市新莊區思源路332巷7號3樓","陳志龍","371092250","1100510"
"206","12421717","錫安國際會議顧問股份有限公司","臺南市東區東門路一段358號9樓之2","吳瑋玲","6500000","1100504"
"207","12442749","匯揚百貨事業有限公司","臺北市內湖區陽光街383號7樓","廖佑霖","5000000","1100514"
"208","12452730","大華不動產顧問股份有限公司","臺北市大安區大安路1段249號4樓","張義權","10000000","1100514"
"209","12476395","台禮股份有限公司","新北市五股區中興路1段10號6樓之3","闕劍鋒","5100000","1100518"
"210","12476629","台灣佳能資訊股份有限公司","臺北市中正區羅斯福路2段100號19樓","小澤秀樹","84000000","1100512"
"211","12486062","羅昇企業股份有限公司","新北市三重區光復路1段83巷7號2樓","李昌鴻","1122504870","1100517"
"212","12491945","璟宏興業股份有限公司","桃園市桃園區同安里中正路1092號18樓","蘇文卿","60000000","1100524"
"213","12499670","凱撒大飯店股份有限公司","屏東縣恆春鎮墾丁路6號","林鴻道","650438550","1100514"
"214","12504890","東吾實業有限公司","新北市八里區仁三街28號","彭城涵汎","15000000","1100521"
"215","12508740","台灣奧的斯電梯股份有限公司","新北市板橋區新站路16之1號37樓","何祖彥(Joseph Jay Armas)","200000000","1100514"
"216","12509425","寶寶皮飾有限公司","臺北市內湖區內湖路1段91巷23弄2號3樓","吳惠如","12000000","1100505"
"217","12509662","信意企業股份有限公司","臺北市松山區復興北路57號7樓之2","蔡適禮","80000000","1100526"
"218","12530314","南陽保險代理人股份有限公司","新北市三重區重陽路1段62號(2樓)","吳麗珠","14175000","1100505"
